Weekly U.S. All Grades All Formulations Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPM0_PTE_NUS_DPG&f=W
12:07:23 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. All Grades All Formulations Retail Gasoline Prices Dollars per Gallon
05/11/2020,1.941
05/4/2020,1.883
04/27/2020,1.87
04/20/2020,1.91
04/13/2020,1.951
04/6/2020,2.022
03/30/2020,2.103
03/23/2020,2.217
03/16/2020,2.343
03/9/2020,2.468
03/2/2020,2.514
02/24/2020,2.555
02/17/2020,2.518
02/10/2020,2.511
02/3/2020,2.546
01/27/2020,2.595
01/20/2020,2.625
01/13/2020,2.657
01/6/2020,2.665
12/30/2019,2.658
12/23/2019,2.621
12/16/2019,2.627
12/9/2019,2.652
12/2/2019,2.667
11/25/2019,2.672
11/18/2019,2.688
11/11/2019,2.711
11/4/2019,2.702
10/28/2019,2.692
10/21/2019,2.735
10/14/2019,2.727
10/7/2019,2.742
09/30/2019,2.737
09/23/2019,2.741
09/16/2019,2.64
09/9/2019,2.638
09/2/2019,2.651
08/26/2019,2.661
08/19/2019,2.684
08/12/2019,2.71
08/5/2019,2.772
07/29/2019,2.798
07/22/2019,2.833
07/15/2019,2.86
07/8/2019,2.827
07/1/2019,2.798
06/24/2019,2.741
06/17/2019,2.759
06/10/2019,2.821
06/3/2019,2.893
05/27/2019,2.909
05/20/2019,2.939
05/13/2019,2.954
05/6/2019,2.983
04/29/2019,2.972
04/22/2019,2.926
04/15/2019,2.912
04/8/2019,2.826
04/1/2019,2.77
03/25/2019,2.701
03/18/2019,2.625
03/11/2019,2.549
03/4/2019,2.502
02/25/2019,2.471
02/18/2019,2.4
02/11/2019,2.361
02/4/2019,2.341
01/28/2019,2.343
01/21/2019,2.34
01/14/2019,2.338
01/7/2019,2.329
12/31/2018,2.358
12/24/2018,2.413
12/17/2018,2.46
12/10/2018,2.511
12/3/2018,2.544
11/26/2018,2.63
11/19/2018,2.7
11/12/2018,2.773
11/5/2018,2.84
10/29/2018,2.896
10/22/2018,2.925
10/15/2018,2.961
10/8/2018,2.984
10/1/2018,2.947
09/24/2018,2.923
09/17/2018,2.921
09/10/2018,2.912
09/3/2018,2.903
08/27/2018,2.906
08/20/2018,2.9
08/13/2018,2.921
08/6/2018,2.93
07/30/2018,2.924
07/23/2018,2.911
07/16/2018,2.943
07/9/2018,2.937
07/2/2018,2.924
06/25/2018,2.913
06/18/2018,2.958
06/11/2018,2.989
06/4/2018,3.018
05/28/2018,3.039
05/21/2018,2.999
05/14/2018,2.949
05/7/2018,2.96
04/30/2018,2.961
04/23/2018,2.914
04/16/2018,2.863
04/9/2018,2.811
04/2/2018,2.817
03/26/2018,2.764
03/19/2018,2.716
03/12/2018,2.677
03/5/2018,2.679
02/26/2018,2.666
02/19/2018,2.676
02/12/2018,2.724
02/5/2018,2.753
01/29/2018,2.723
01/22/2018,2.684
01/15/2018,2.673
01/8/2018,2.639
01/1/2018,2.637
12/25/2017,2.589
12/18/2017,2.568
12/11/2017,2.601
12/4/2017,2.617
11/27/2017,2.648
11/20/2017,2.683
11/13/2017,2.706
11/6/2017,2.673
10/30/2017,2.602
10/23/2017,2.594
10/16/2017,2.605
10/9/2017,2.622
10/2/2017,2.682
09/25/2017,2.701
09/18/2017,2.75
09/11/2017,2.8
09/4/2017,2.794
08/28/2017,2.513
08/21/2017,2.474
08/14/2017,2.497
08/7/2017,2.492
07/31/2017,2.467
07/24/2017,2.426
07/17/2017,2.392
07/10/2017,2.411
07/3/2017,2.376
06/26/2017,2.404
06/19/2017,2.433
06/12/2017,2.479
06/5/2017,2.525
05/29/2017,2.516
05/22/2017,2.51
05/15/2017,2.481
05/8/2017,2.484
05/1/2017,2.522
04/24/2017,2.559
04/17/2017,2.546
04/10/2017,2.534
04/3/2017,2.471
03/27/2017,2.428
03/20/2017,2.433
03/13/2017,2.434
03/6/2017,2.452
02/27/2017,2.427
02/20/2017,2.414
02/13/2017,2.418
02/6/2017,2.405
01/30/2017,2.408
01/23/2017,2.436
01/16/2017,2.467
01/9/2017,2.496
01/2/2017,2.485
12/26/2016,2.419
12/19/2016,2.375
12/12/2016,2.347
12/5/2016,2.321
11/28/2016,2.268
11/21/2016,2.269
11/14/2016,2.298
11/7/2016,2.345
10/31/2016,2.341
10/24/2016,2.353
10/17/2016,2.367
10/10/2016,2.381
10/3/2016,2.354
09/26/2016,2.334
09/19/2016,2.333
09/12/2016,2.31
09/5/2016,2.329
08/29/2016,2.341
08/22/2016,2.299
08/15/2016,2.256
08/8/2016,2.256
08/1/2016,2.267
07/25/2016,2.289
07/18/2016,2.336
07/11/2016,2.359
07/4/2016,2.396
06/27/2016,2.432
06/20/2016,2.455
06/13/2016,2.499
06/6/2016,2.482
05/30/2016,2.44
05/23/2016,2.403
05/16/2016,2.345
05/9/2016,2.325
05/2/2016,2.342
04/25/2016,2.265
04/18/2016,2.24
